RegionName,StateName,2015-1,2015-2,2015-3,2015-4,2015-5,2015-6,2015-7,2015-8,2015-9,2015-10,2015-11,2015-12,2016-1,2016-2,2016-3,2016-4,2016-5,2016-6,2016-7,2016-8,2016-9,2016-10,2016-11,2016-12,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9,2017-10,2017-11,2017-12,2018-1,2018-2,2018-3,2018-4,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2019-10,2019-11
United States,NA,3.76,4.04,4.22,4.5,4.86,5.78,5.69,5.6,5.32,5.87,6.06,5.96,6.15,5.5,5.05,4.77,5.41,6.24,6.33,6.42,6.51,6.61,6.7,6.79,6.88,6.97,7.06,7.16,7.25,7.34,7.43,7.52,8.07,8.44,8.81,9.08,9.27,9.45,9.63,9.91,10,9.82,9.72,9.54,9.36,9.17,8.99,8.62,8.26,7.98,7.8,7.61,7.71,7.89,8.17,8.35,8.53,8.72,8.9
"New York, NY",NY,6.15,6.33,6.42,5.96,5.05,4.5,4.04,4.22,4.31,3.94,3.49,3.3,3.12,3.21,3.39,3.76,3.85,4.4,4.59,4.77,4.86,4.95,5.23,5.32,5.5,5.6,6.7,6.97,7.16,7.43,7.34,7.52,7.61,7.71,8.26,8.62,8.81,9.08,8.99,9.45,9.63,9.91,10,9.82,9.72,9.54,9.27,8.9,9.36,9.17,8.72,8.53,8.44,8.35,7.98,7.89,7.8,8.07,8.17
"Los Angeles-Long Beach-Anaheim, CA",CA,3.39,3.67,3.76,3.85,4.5,5.23,5.96,6.15,6.7,6.88,6.97,5.87,4.95,4.4,4.59,5.05,5.6,5.69,5.5,5.41,5.78,6.51,6.61,6.06,6.24,6.79,7.25,7.52,7.89,8.26,8.62,8.99,9.17,9.27,9.36,9.45,9.63,9.72,9.91,10,9.82,9.54,9.08,8.44,7.98,7.34,6.33,5.14,4.22,3.94,3.21,2.66,2.39,2.94,3.49,4.13,4.31,4.68,5.32
"Chicago, IL",IL,4.13,3.94,3.58,3.39,3.21,2.94,2.75,3.12,2.84,3.03,3.3,3.49,3.67,3.85,4.04,4.22,4.4,4.59,5.05,5.23,5.6,6.06,6.24,6.42,6.7,6.97,7.06,7.16,7.25,7.34,7.43,7.52,8.35,8.53,8.72,8.99,9.27,9.45,9.63,9.82,10,9.91,9.72,9.54,9.36,9.17,9.08,8.9,8.81,8.62,8.44,8.26,7.98,7.89,8.17,8.07,7.8,7.71,7.61
"Dallas-Fort Worth, TX",TX,7.25,8.07,9.27,9.63,9.72,10,9.91,9.82,9.08,8.81,8.35,7.8,6.97,6.15,6.24,6.42,6.88,6.61,6.7,6.79,7.43,7.89,8.53,8.44,8.72,9.36,9.54,9.45,9.17,8.62,7.98,7.61,7.34,7.16,7.06,7.52,8.17,8.9,8.99,8.26,7.71,6.51,5.78,5.5,5.23,5.05,4.77,4.5,4.22,4.04,3.76,3.49,2.94,3.12,3.3,3.58,3.39,3.03,2.84
"Philadelphia, PA",PA,3.49,3.21,3.3,3.03,2.84,2.94,3.39,3.76,4.4,4.77,5.14,4.86,5.05,4.95,4.59,4.13,4.31,5.69,6.06,6.33,6.51,6.61,6.7,6.79,6.88,6.97,7.06,7.43,7.61,7.52,7.25,7.16,7.34,7.71,7.8,7.89,7.98,8.07,8.17,8.26,8.99,9.54,8.9,9.08,9.36,9.27,8.81,8.44,8.35,8.53,8.62,8.72,9.17,9.45,9.63,9.72,9.82,9.91,10
"Houston, TX",TX,9.63,9.72,9.91,10,9.82,9.36,8.53,8.07,7.61,7.71,7.89,7.98,7.25,6.51,5.23,4.59,5.32,5.5,5.6,4.86,5.05,5.87,6.24,6.7,6.61,6.33,5.69,4.77,4.5,4.31,4.04,4.4,5.96,5.41,4.22,3.76,4.13,6.06,6.88,7.16,7.43,7.52,7.06,6.79,6.15,5.78,5.14,4.68,3.94,3.67,3.49,3.03,2.75,2.84,3.21,3.39,3.3,2.94,2.66
"Washington, DC",DC,3.85,3.58,3.3,2.94,2.75,2.84,3.12,3.39,3.49,3.21,2.66,2.39,2.2,1.93,1.56,1.19,1.28,1.74,3.67,4.04,4.4,4.86,4.95,4.68,4.59,4.77,5.23,5.6,5.78,5.96,6.06,6.15,6.24,6.51,6.61,6.97,7.25,7.43,8.26,9.08,9.17,8.9,8.07,7.98,8.62,8.72,8.44,8.53,8.81,8.99,9.27,9.36,9.45,9.82,9.63,9.72,9.54,9.91,10
"Miami-Fort Lauderdale, FL",FL,0.92,1.01,1.38,2.02,3.58,7.16,9.36,9.72,8.72,6.61,4.95,4.59,4.22,3.03,2.75,3.94,5.23,6.24,6.79,5.87,5.6,5.14,4.5,3.12,2.57,2.84,4.13,5.05,5.32,5.5,5.69,6.7,7.61,7.43,5.78,3.3,3.21,6.51,8.26,9.54,10,9.91,9.45,8.99,8.44,7.71,7.34,7.52,7.25,6.33,4.86,3.85,3.39,4.04,4.31,5.41,6.15,6.88,6.97
"Atlanta, GA",GA,4.22,4.4,5.23,5.87,6.15,6.24,5.96,5.78,5.41,5.14,4.59,4.13,3.21,2.75,2.84,3.3,4.5,6.06,6.88,6.97,6.7,6.33,6.42,6.51,6.79,6.61,7.06,7.16,7.25,7.61,7.89,8.26,8.44,8.62,8.81,8.9,8.99,9.08,9.27,9.36,9.54,9.72,9.82,9.63,10,9.91,9.45,9.17,8.72,8.53,8.35,8.17,7.98,7.71,7.52,7.43,7.34,7.8,8.07
"Boston, MA",MA,4.04,4.59,4.77,4.22,4.13,5.14,6.15,6.33,6.42,6.24,5.96,5.6,5.41,5.23,5.05,4.31,4.86,5.5,5.87,6.06,6.51,6.61,6.7,7.06,6.97,6.88,6.79,7.34,7.71,8.44,7.89,8.26,8.72,8.9,9.08,9.27,9.54,9.72,9.91,10,9.82,9.63,9.45,9.36,9.17,8.99,8.81,8.62,8.17,7.52,7.25,7.16,7.43,7.61,8.07,8.53,8.35,7.98,7.8
"San Francisco, CA",CA,5.96,6.33,6.97,8.07,8.53,8.44,8.35,8.72,8.81,8.62,7.98,7.43,6.88,6.42,5.14,4.77,4.31,4.13,3.85,3.49,3.58,3.76,4.04,4.22,4.4,4.68,4.95,5.78,7.06,7.71,8.26,8.9,9.08,9.27,9.45,9.63,9.72,9.91,10,9.82,9.54,9.36,9.17,8.99,8.17,6.7,5.5,4.86,4.59,3.94,2.75,2.66,2.84,3.12,3.39,3.3,3.21,3.03,3.67
"Detroit, MI",MI,1.83,2.02,2.29,2.39,2.2,2.48,2.75,2.94,3.21,3.3,3.58,3.76,4.04,4.13,4.22,4.59,4.95,5.14,5.5,6.33,6.51,6.61,6.7,6.79,6.88,6.97,7.06,7.16,7.25,7.34,7.43,7.52,7.61,7.71,8.44,8.72,8.99,9.17,9.36,9.54,9.82,10,9.91,9.72,9.63,9.45,9.27,9.08,8.9,8.81,8.62,8.53,8.35,8.26,8.07,8.17,7.98,7.89,7.8
