,RegionName,City,State,InitialValue,FinalValue,Percent Change
624,Midtown,Atlanta,GA,238817,323293,35.3726912238241
767,Downtown,Atlanta,GA,163686,228871,39.82319807436189
1077,Old Fourth Ward,Atlanta,GA,206508,317833,53.908323164235775
1726,Pine Hills,Atlanta,GA,216510,296854,37.10867858297538
2881,Lindbergh,Atlanta,GA,180296,264867,46.90675333895372
3692,Peachtree Heights West,Atlanta,GA,256576,333718,30.065945372910953
3845,Underwood Hills,Atlanta,GA,238436,347936,45.92427318022446
4629,Summerhill,Atlanta,GA,235179,364488,54.98322554309696
5271,Princeton Lakes,Atlanta,GA,178874,228343,27.655780046289568
5610,Bolton,Atlanta,GA,211062,311104,47.39934237333106
5961,Atlantic Station,Atlanta,GA,221914,275340,24.075092152815955
7250,Brookwood,Atlanta,GA,221032,296088,33.95707408881972
7674,Riverside,Atlanta,GA,233131,308312,32.24839253466935
8064,Niskey Lake,Atlanta,GA,245786,313913,27.718014858454104
8727,Fairburn Tell,Atlanta,GA,150908,212599,40.87987383041323
8867,Oakland,Atlanta,GA,231250,311770,34.81945945945946
9173,Niskey Cove,Atlanta,GA,248781,310761,24.913478119309755
