Region,2015-1,2015-2,2015-3,2015-4,2015-5,2015-6,2015-7,2015-8,2015-9,2015-10,2015-11,2015-12,2016-1,2016-2,2016-3,2016-4,2016-5,2016-6,2016-7,2016-8,2016-9,2016-10,2016-11,2016-12,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9,2017-10,2017-11,2017-12,2018-1,2018-2,2018-3,2018-4,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2019-10,2019-11
Midtown,6.24,7.52,7.71,8.35,7.8,8.17,7.89,7.61,7.25,5.69,5.87,6.51,6.06,5.6,5.78,6.79,7.06,6.15,6.33,6.61,6.97,6.88,7.16,6.42,5.96,4.86,7.43,7.98,8.62,8.07,8.26,8.44,8.72,8.9,8.81,8.99,9.17,9.27,9.36,9.45,9.54,9.63,9.82,10,9.91,9.72,9.08,8.53,7.34,6.7,5.41,5.23,4.68,4.77,4.4,4.04,3.94,4.22,4.5
Downtown,9.63,9.45,4.95,3.21,2.66,4.86,5.5,2.84,2.11,2.39,4.68,7.16,5.05,3.76,2.75,3.94,5.14,8.35,8.72,8.99,8.62,8.44,6.15,4.31,4.04,5.69,7.06,8.53,8.9,8.81,7.43,6.51,6.33,5.6,6.06,5.87,6.42,4.59,5.96,7.71,9.54,9.36,9.27,9.82,9.91,10,9.72,9.17,7.34,7.25,8.26,7.98,7.52,6.24,4.5,3.67,3.49,3.85,4.4
Belair,7.61,7.16,6.61,6.51,6.33,6.42,5.41,5.23,5.32,5.69,5.87,6.06,5.78,6.15,5.6,5.14,4.31,3.67,3.39,4.86,5.96,7.25,7.52,6.24,4.22,3.03,5.05,6.97,8.53,8.35,7.98,7.43,7.06,6.7,6.88,7.34,8.26,9.17,8.72,8.17,7.89,8.81,8.44,9.08,9.27,9.36,8.62,7.71,7.8,8.9,9.54,9.63,9.82,9.91,10,9.72,9.45,8.99,8.07
Old Fourth Ward,6.79,5.05,4.86,4.5,3.67,3.3,3.49,4.68,4.77,5.87,6.42,6.61,7.16,7.71,8.35,8.62,8.81,8.99,8.9,8.17,7.25,6.97,6.7,6.15,5.32,3.94,5.23,7.06,8.72,8.53,7.98,7.61,7.43,6.88,6.24,6.33,8.07,9.17,9.72,9.91,10,9.82,9.63,9.54,9.45,9.36,9.27,9.08,8.44,7.52,5.78,5.69,5.6,6.51,6.06,4.31,3.39,3.03,2.94
Jamestown,8.07,7.61,6.06,4.86,3.12,3.76,4.22,5.96,6.97,6.61,6.51,5.14,2.75,1.28,1.47,3.21,5.78,3.39,2.11,1.74,4.95,5.69,5.6,4.59,3.58,2.48,2.2,3.03,4.4,5.41,4.31,3.3,3.49,3.85,2.94,3.67,5.32,8.62,9.82,10,9.91,9.72,9.63,8.72,8.26,6.7,6.79,6.42,7.25,7.16,7.8,7.43,7.52,7.34,8.35,8.53,9.17,8.81,8.17
Georgetown,6.61,7.34,7.61,6.88,6.42,6.51,6.97,7.43,7.71,6.79,4.95,4.04,4.13,4.5,4.31,3.76,2.94,3.67,4.86,6.33,5.96,5.23,5.78,5.05,5.14,5.32,6.06,5.5,4.68,5.6,7.06,8.35,8.81,7.8,7.16,7.25,7.52,8.07,7.89,7.98,9.08,9.45,9.91,9.72,9.54,9.17,8.62,8.44,8.26,8.53,8.72,9.63,9.82,10,9.36,8.9,8.17,8.99,9.27
North Springs,2.48,4.22,5.96,6.42,6.06,4.68,4.5,3.39,3.67,3.94,5.23,6.15,6.7,6.51,5.69,6.79,8.07,9.08,8.81,8.35,7.43,7.16,8.26,8.53,9.36,9.17,8.99,9.45,9.72,10,9.82,9.63,8.9,8.17,7.25,7.52,6.97,6.33,6.88,8.72,9.91,9.54,8.62,7.89,7.61,7.8,7.34,7.06,5.5,5.14,4.13,6.61,7.98,9.27,8.44,7.71,5.78,5.41,3.85
North Buckhead,3.03,3.39,2.84,2.94,3.49,4.86,7.52,8.17,8.26,7.89,7.71,4.95,3.12,2.2,1.93,2.11,2.39,3.76,5.05,7.34,5.5,3.85,3.58,4.77,7.61,5.41,3.21,2.57,4.13,6.97,8.9,8.81,8.99,8.35,9.08,9.54,9.17,8.07,4.59,5.23,7.98,9.36,9.82,9.63,9.91,9.45,8.44,5.69,2.75,1.83,1.38,1.74,3.3,6.33,5.87,4.04,2.66,2.29,2.48
Morningside - Lenox Park,7.16,6.51,6.79,7.52,8.44,8.81,8.9,7.98,6.7,4.95,4.22,4.4,3.21,2.11,1.65,2.29,5.32,9.36,9.17,7.34,5.5,4.5,4.86,4.59,5.14,5.05,6.97,9.08,10,9.91,8.35,7.71,5.69,3.94,3.12,3.03,2.94,2.39,4.68,7.25,9.82,9.54,9.72,9.27,8.26,6.42,6.15,6.24,6.33,5.23,3.49,4.04,5.41,8.62,7.8,6.61,4.13,2.84,2.75
Pine Hills,6.97,5.14,4.68,5.32,8.17,9.36,9.17,7.71,6.7,6.88,7.43,6.42,4.22,3.85,3.39,3.67,4.4,5.6,8.72,8.9,7.98,6.33,5.41,5.96,6.06,5.78,5.87,6.51,8.62,8.35,7.52,7.06,7.34,7.8,8.53,8.99,8.81,8.07,7.89,9.08,9.54,9.82,10,9.91,9.72,9.63,9.45,9.27,8.44,6.79,6.15,6.61,7.25,7.16,6.24,5.5,5.05,3.49,2.57
Grant Park,2.02,1.74,2.11,3.49,6.97,8.9,9.36,9.27,8.07,5.78,5.14,5.23,5.05,4.31,4.13,5.6,7.43,8.44,7.06,7.61,6.88,7.8,6.51,6.79,7.52,7.98,8.53,8.99,9.63,9.82,9.54,8.81,8.17,7.16,7.25,7.34,6.06,2.94,1.83,2.57,6.24,9.17,8.35,6.61,6.7,7.71,7.89,8.62,9.08,9.45,10,9.91,9.72,8.72,8.26,6.33,4.95,3.21,3.76
Virginia Highland,4.04,4.77,5.96,8.35,9.08,8.81,8.07,6.7,6.42,6.06,5.6,4.22,3.76,3.94,4.95,6.97,7.61,7.8,8.17,8.44,8.9,8.99,8.53,7.71,6.61,6.33,6.15,7.25,8.62,9.63,9.36,9.17,7.89,7.52,7.43,9.27,9.54,8.72,7.34,7.98,9.72,9.91,10,9.82,9.45,8.26,7.16,6.51,4.59,3.67,3.21,3.85,4.5,4.68,5.14,5.41,5.5,5.78,5.23
West Augusta,1.47,2.02,3.76,5.05,2.84,1.1,0.28,0.92,3.58,6.7,8.26,7.98,4.5,0.37,0.09,0.18,1.28,5.78,7.89,7.43,6.33,6.61,7.8,9.27,9.45,8.35,7.34,6.79,7.61,8.44,8.62,8.72,8.81,8.53,8.07,7.16,6.97,4.95,6.24,7.25,8.9,8.99,9.17,9.54,9.82,9.72,9.36,7.71,6.51,5.41,4.77,6.06,7.06,7.52,8.17,9.08,9.91,10,9.63
Kirkwood,1.83,3.12,5.05,7.71,8.17,9.63,9.27,8.72,8.53,7.8,6.79,4.5,3.58,4.13,6.06,7.98,8.81,8.44,8.26,8.99,9.36,9.54,9.17,8.35,6.88,6.61,8.62,9.91,10,9.82,9.08,7.43,7.16,7.52,8.9,9.45,9.72,7.61,5.69,2.66,3.21,3.76,6.15,5.96,5.14,5.41,5.32,6.7,6.97,7.06,4.86,4.22,3.94,5.23,5.78,4.77,4.04,2.75,2.57
Windsor Forest,7.34,8.35,7.52,8.53,8.81,7.61,7.06,5.96,5.41,4.59,4.22,4.31,4.68,4.86,4.4,3.67,3.03,3.21,4.13,5.23,6.61,8.26,8.62,8.17,7.98,7.8,7.71,6.79,6.51,6.42,6.97,7.43,7.25,6.24,5.5,6.33,8.72,9.63,9.36,9.27,9.45,9.82,9.08,9.17,8.99,9.72,9.54,8.9,8.44,6.7,5.14,3.3,1.47,2.11,3.58,5.78,7.89,10,9.91
Ashford Park,6.42,1.38,0.55,0.83,4.04,8.17,8.26,7.61,7.25,5.41,4.22,3.39,3.03,2.84,3.12,4.68,5.87,5.6,4.59,3.67,2.66,1.93,1.47,2.57,3.58,3.94,4.5,5.23,6.79,6.88,6.51,6.24,5.96,6.33,6.97,8.07,8.9,9.82,9.45,8.44,7.06,8.99,10,9.91,9.36,7.98,9.27,9.63,8.53,5.05,2.94,3.76,5.32,6.61,7.8,6.15,5.14,4.13,4.95
Ormewood Park,5.32,5.5,4.77,3.76,5.23,6.15,6.97,5.69,5.05,3.67,3.58,3.39,4.13,4.4,5.14,6.24,8.07,9.08,8.9,7.89,7.61,7.25,6.79,6.06,6.51,7.71,9.54,9.82,10,9.91,9.63,9.45,9.36,9.17,8.44,8.35,8.99,8.53,6.88,6.42,7.06,7.98,8.17,8.26,8.81,8.62,7.52,7.34,6.33,7.8,8.72,9.72,9.27,7.16,4.59,4.5,3.49,4.22,3.94
East Atlanta,4.22,4.59,5.69,6.97,7.34,7.71,7.8,7.52,7.61,7.89,8.17,8.44,8.35,8.62,7.98,8.26,8.99,9.36,9.72,9.17,9.45,9.27,9.08,8.81,8.72,9.54,9.82,10,9.91,9.63,8.9,8.53,8.07,7.43,7.25,7.06,6.15,5.87,5.5,5.78,6.24,7.16,6.88,6.79,6.42,6.61,6.7,6.51,6.33,6.06,5.96,5.6,5.41,4.86,4.68,4.31,3.94,3.49,3.03
