RegionName,MSA,2015-1,2015-2,2015-3,2015-4,2015-5,2015-6,2015-7,2015-8,2015-9,2015-10,2015-11,2015-12,2016-1,2016-2,2016-3,2016-4,2016-5,2016-6,2016-7,2016-8,2016-9,2016-10,2016-11,2016-12,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9,2017-10,2017-11,2017-12,2018-1,2018-2,2018-3,2018-4,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2019-10,2019-11
Fulton County,Atlanta-Sandy Springs-Roswell,6.51,6.88,7.71,7.52,7.34,6.7,6.42,6.24,5.87,5.96,6.06,5.69,5.14,5.05,5.23,5.41,5.6,6.15,6.61,7.61,7.25,7.06,6.97,6.79,7.16,7.43,7.89,8.07,8.44,8.26,8.17,8.53,8.62,8.81,8.9,8.99,9.17,9.36,9.45,9.72,9.91,10,9.82,9.63,9.54,9.27,9.08,8.72,8.35,7.98,7.8,6.33,5.5,4.95,4.4,3.58,3.12,3.03,2.94
Gwinnett County,Atlanta-Sandy Springs-Roswell,2.84,3.12,3.03,3.3,3.67,4.59,5.5,5.6,5.32,4.77,4.68,4.04,3.39,2.66,2.94,3.58,4.95,5.87,6.15,6.24,6.33,6.42,6.51,6.7,6.88,6.97,7.06,7.25,7.43,7.8,7.98,8.17,8.35,8.81,8.99,9.17,9.27,9.36,9.54,9.82,10,9.91,9.72,9.63,9.45,9.08,8.9,8.44,8.53,8.62,8.72,8.26,8.07,7.89,7.71,7.61,7.52,7.34,7.16
Dekalb County,Atlanta-Sandy Springs-Roswell,4.22,4.04,4.5,5.78,7.06,7.43,6.97,6.33,6.15,5.6,4.95,3.94,3.76,3.85,4.59,5.14,6.06,7.52,7.98,7.71,7.25,6.7,6.51,6.79,6.88,7.34,7.61,7.8,8.07,8.17,8.35,8.53,8.81,8.9,8.99,8.62,9.08,9.36,9.63,9.72,9.91,10,9.82,9.54,9.45,9.27,9.17,8.72,8.44,8.26,7.89,7.16,6.61,6.42,6.24,5.96,5.87,5.69,5.5
Cobb County,Atlanta-Sandy Springs-Roswell,3.49,4.5,4.95,5.14,5.6,5.23,5.32,5.41,5.78,5.96,6.15,5.87,5.69,4.86,5.05,5.5,6.06,6.42,6.51,6.24,6.33,6.61,6.7,6.79,7.16,7.25,7.61,8.07,7.98,7.52,6.88,7.34,7.89,8.26,8.35,8.53,8.62,8.99,9.36,9.72,10,9.91,9.82,9.63,9.54,9.45,9.27,9.17,9.08,8.9,8.81,8.72,8.44,8.17,7.8,7.71,6.97,7.06,7.43
Clayton County,Atlanta-Sandy Springs-Roswell,5.69,4.95,4.59,4.5,4.31,4.22,3.94,3.58,3.21,3.12,2.84,2.48,1.83,1.65,1.28,1.19,1.56,1.74,2.02,2.29,2.2,1.93,2.11,2.57,2.66,2.94,3.03,3.39,3.49,3.67,3.85,4.04,4.4,4.86,5.23,5.87,6.51,6.7,6.97,7.16,8.35,9.27,9.36,9.45,9.63,9.82,9.91,10,9.72,9.54,9.17,9.08,8.62,8.17,8.44,8.26,8.53,7.52,7.61
Cherokee County,Atlanta-Sandy Springs-Roswell,3.67,3.76,4.04,4.22,4.5,4.86,4.95,5.41,5.87,6.24,6.15,5.69,5.78,5.23,5.14,5.6,6.51,7.98,7.61,6.88,6.61,6.7,6.79,6.33,5.96,6.06,6.42,7.52,7.25,7.06,7.16,7.43,7.71,8.81,8.99,9.17,9.27,9.36,9.45,9.91,10,9.82,9.72,9.63,9.54,9.08,8.44,7.34,6.97,7.8,8.26,8.35,8.07,7.89,8.17,8.62,8.53,8.72,8.9
Forsyth County,Atlanta-Sandy Springs-Roswell,4.77,5.78,6.15,6.51,6.79,7.16,7.43,7.71,7.89,8.17,8.26,7.61,7.06,6.42,6.7,5.6,5.69,5.41,6.61,6.33,6.06,4.95,5.05,5.87,6.88,5.96,4.13,4.04,5.23,7.52,7.8,7.98,8.07,8.35,8.81,8.9,9.27,9.08,9.54,9.72,10,9.45,9.17,8.72,8.44,7.34,5.5,3.94,3.12,2.84,2.94,3.03,3.3,3.39,3.49,3.67,3.85,3.76,3.58
Douglas County,Atlanta-Sandy Springs-Roswell,5.78,5.32,4.59,3.85,3.03,2.48,2.39,2.94,2.84,2.75,2.2,1.93,1.83,2.11,2.02,2.29,2.57,3.49,4.22,4.04,3.67,3.21,3.39,3.12,3.3,3.76,4.13,3.94,4.86,6.06,6.79,7.06,7.34,7.8,7.98,8.17,7.89,7.43,7.25,7.61,8.35,8.26,8.53,8.99,9.17,9.72,9.36,9.27,9.63,9.54,9.45,9.91,10,9.82,9.08,8.9,8.44,8.07,7.71
Coweta County,Atlanta-Sandy Springs-Roswell,3.76,5.05,6.06,7.25,7.61,7.06,5.78,5.41,5.32,5.5,5.23,5.14,4.59,4.4,4.95,6.15,7.89,7.98,7.52,6.88,6.42,5.6,5.69,5.87,7.16,6.7,6.61,5.96,6.33,6.97,7.8,8.17,9.08,8.99,8.07,6.51,6.24,6.79,7.43,8.9,9.17,9.36,9.45,9.63,9.72,9.82,10,9.91,9.54,9.27,8.26,8.72,8.44,8.81,8.53,8.35,7.71,7.34,8.62
Fayette County,Atlanta-Sandy Springs-Roswell,4.4,4.13,4.95,5.78,8.26,8.81,7.8,6.51,5.96,5.5,5.05,4.5,4.59,4.86,5.32,5.41,5.87,5.69,6.7,7.34,7.98,7.89,7.25,6.15,5.6,6.24,7.16,8.44,8.53,9.08,8.99,8.72,8.17,7.61,6.88,7.43,8.07,8.9,9.45,9.72,9.54,9.27,9.17,9.36,9.91,10,9.82,9.63,8.62,8.35,6.61,6.79,7.06,7.52,6.97,6.42,6.06,6.33,7.71
