RegionName,StateName,2015-1,2015-2,2015-3,2015-4,2015-5,2015-6,2015-7,2015-8,2015-9,2015-10,2015-11,2015-12,2016-1,2016-2,2016-3,2016-4,2016-5,2016-6,2016-7,2016-8,2016-9,2016-10,2016-11,2016-12,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9,2017-10,2017-11,2017-12,2018-1,2018-2,2018-3,2018-4,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2019-10,2019-11
United States,NA,3.76,4.04,4.22,4.5,4.86,5.78,5.69,5.6,5.32,5.87,6.06,5.96,6.15,5.5,5.05,4.77,5.41,6.24,6.33,6.42,6.51,6.61,6.7,6.79,6.88,6.97,7.06,7.16,7.25,7.34,7.43,7.52,8.07,8.44,8.81,9.08,9.27,9.45,9.63,9.91,10,9.82,9.72,9.54,9.36,9.17,8.99,8.62,8.26,7.98,7.8,7.61,7.71,7.89,8.17,8.35,8.53,8.72,8.9
"Atlanta, GA",GA,4.22,4.4,5.23,5.87,6.15,6.24,5.96,5.78,5.41,5.14,4.59,4.13,3.21,2.75,2.84,3.3,4.5,6.06,6.88,6.97,6.7,6.33,6.42,6.51,6.79,6.61,7.06,7.16,7.25,7.61,7.89,8.26,8.44,8.62,8.81,8.9,8.99,9.08,9.27,9.36,9.54,9.72,9.82,9.63,10,9.91,9.45,9.17,8.72,8.53,8.35,8.17,7.98,7.71,7.52,7.43,7.34,7.8,8.07
"Augusta, GA",GA,5.32,5.5,5.41,5.23,4.86,4.68,5.05,5.6,6.33,6.79,6.51,6.15,5.69,4.95,4.5,4.59,5.96,6.97,7.06,6.88,6.61,6.7,6.42,6.06,5.78,5.87,6.24,7.16,7.25,7.43,7.61,7.34,7.52,7.71,7.8,7.89,8.17,8.35,7.98,8.07,8.26,8.44,8.53,8.81,8.62,8.72,8.9,8.99,9.08,9.17,9.27,9.63,9.54,9.82,9.72,10,9.91,9.45,9.36
"Savannah, GA",GA,6.51,6.42,6.33,6.7,6.88,7.16,7.34,7.25,6.97,6.79,6.06,5.69,5.78,4.86,4.5,4.4,4.68,4.95,5.6,5.32,5.96,6.15,5.5,5.41,5.14,5.23,4.77,5.05,6.24,7.06,7.43,7.52,8.07,8.17,8.35,8.26,9.08,9.54,9.72,9.91,10,9.82,9.63,8.72,7.8,7.71,7.61,7.89,7.98,8.44,8.53,8.99,8.9,8.62,8.81,9.17,9.27,9.36,9.45
"Columbus, GA",GA,6.06,6.88,7.43,7.71,7.61,7.34,7.16,7.06,6.61,5.41,4.59,4.04,4.22,3.85,3.39,3.21,3.67,4.13,4.95,5.69,5.23,4.68,4.5,5.14,5.78,5.96,4.77,4.4,5.5,6.42,6.51,6.97,7.25,7.52,7.8,7.89,8.07,7.98,8.17,8.26,8.53,8.9,9.08,8.99,8.72,8.62,8.35,8.44,8.81,9.17,9.27,9.45,9.36,9.54,9.63,9.72,9.82,9.91,10
"Macon-Bibb County, GA",GA,4.22,2.84,2.75,3.49,6.24,6.51,5.96,3.76,4.13,5.78,6.06,3.67,2.66,2.48,4.04,5.32,4.77,4.4,4.68,4.5,3.21,2.39,3.85,6.42,6.97,7.16,6.88,7.06,7.25,7.34,7.43,7.52,7.61,7.71,7.8,7.89,8.17,8.62,8.72,8.81,9.17,9.36,9.54,9.91,10,9.63,9.72,9.82,9.45,8.99,8.35,8.44,8.9,9.27,9.08,8.53,8.26,8.07,7.98
"Athens, GA",GA,2.2,2.57,3.21,4.95,5.78,6.24,6.15,5.69,5.41,5.05,4.59,4.22,3.58,3.67,3.85,4.31,5.32,5.96,6.61,6.7,6.42,6.33,6.51,6.79,6.88,6.97,7.16,7.43,7.25,7.06,7.34,7.52,7.61,7.98,8.81,9.17,9.36,9.63,9.82,10,9.91,9.72,9.27,9.45,9.54,9.08,8.9,8.72,8.26,7.8,7.71,7.89,8.44,8.62,8.35,8.17,8.07,8.53,8.99
"Gainesville, GA",GA,2.48,2.2,2.39,3.94,5.14,5.87,6.97,6.88,5.6,5.05,3.76,4.86,4.5,3.58,1.93,2.02,3.3,5.23,5.96,7.52,7.89,7.98,6.7,7.34,6.79,7.71,6.15,6.51,6.06,7.25,7.16,7.43,7.8,7.06,7.61,8.26,9.08,9.72,10,9.91,9.82,9.45,9.36,9.17,9.27,8.81,8.53,6.42,6.24,8.17,8.99,9.54,9.63,8.9,8.72,8.44,8.62,8.35,8.07
"Warner Robins, GA",GA,5.41,5.32,4.13,2.84,2.29,3.58,5.78,6.24,6.33,5.87,4.59,2.66,1.47,1.65,3.3,5.14,5.96,6.06,6.15,6.42,6.51,6.88,7.06,7.25,7.16,6.97,6.7,6.61,6.79,7.34,7.43,7.52,7.61,7.71,7.8,8.35,8.9,9.45,9.36,8.99,8.81,8.72,9.08,9.54,9.63,9.17,8.44,8.17,7.98,7.89,8.07,9.27,9.91,10,9.82,9.72,8.62,8.26,8.53
"Albany, GA",GA,5.41,4.31,4.77,5.87,5.96,6.24,4.68,5.23,2.94,1.93,1.01,0.37,0.64,1.1,1.56,2.11,2.57,3.12,3.67,3.21,3.39,2.66,3.49,4.59,6.61,6.97,7.06,6.88,6.79,7.25,7.61,8.17,9.54,8.9,8.35,8.53,9.08,9.45,9.27,8.99,9.72,9.82,9.91,8.72,7.8,8.07,9.17,10,9.63,7.89,7.34,7.43,7.71,8.26,9.36,8.81,8.44,8.62,7.98
